id,rut_unidad,nombre_unidad,calle_unidad,numero_unidad,comuna_unidad,region_unidad,CodigoExterno,codunspsc,nomunspsc
13,61.202.000-0,Dirección de Vialidad - IX Región - Dirección Regional,"Manuel Bulnes Nº 897, Piso 4º, Oficina Nº 404",SERVICIO DE MAESTRANZA Y SERVICIOS MENORES,Temuco,Región de la Araucanía ,1001-20-LE22,73181900,Servicios de producción y fabricación industrial / Servicios mecanizados y de procesamiento / Servicios de soldadura
14,61.999.320-9,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,"MANUEL RODRIGUEZ, N°893, COQUIMBO",Implementos para actividades académicas en ciencia,Coquimbo,Región de Coquimbo ,1002588-63-LE22,41111700,Equipamiento para laboratorios / Instrumentos de medida y experimentación / Instrumentos y accesorios de observación
15,61.999.320-9,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,"MANUEL RODRIGUEZ, N°893, COQUIMBO",Mejoramiento Jardín Infantil Santo Tomás de Aquino,Coquimbo,Región de Coquimbo ,1002588-65-LE22,72131700,Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras
16,61.606.903-9,INSUMOS CLINICOS,CHACABUCO 121 CURICO,CONTRATO DE SUMINISTRO DE APÓSITOS DE ESPUMA PARA CURACIÓN AVANZADA,Curicó,Región del Maule ,1003473-30-LQ22,42311500,"Equipamiento y suministros médicos / Productos para el cuidado de heridas / Vendas, vendajes y productos relacionados"
17,61.999.280-6,Centro de Formación Técnica Región de Coquimbo,Ariztia Oriente 739 (frente Terminal de buses Ovalle),SUBALIMENTADOR PARA CONTAINER SEPARADO DEL EDIFICIO,Ovalle,Región de Coquimbo ,1004823-12-L122,72102200,"Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Servicios eléctricos"
18,61.999.280-6,Centro de Formación Técnica Región de Coquimbo,Ariztia Oriente 739 (frente Terminal de buses Ovalle),Herramientas y materiales para ser utilizados en la carrera de TNS en Construcción,Ovalle,Región de Coquimbo ,1004823-9-L122,60106100,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Materiales, artículos y suministros didácticos profesionales y para el desarrollo personal / Materiales de enseñanza vocacional"
19,65.154.021-6,SERVICIO EDUCATIVO PROGRAMA 2,Av. General Bonilla 6100 Lo prado  Ex mundo Mágico,Iniciativa de Conservación J.I Sembrando Futuro,Lo Prado,Región Metropolitana de Santiago,1013353-38-LQ22,72102800,"Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Servicios de restauración de edificios y estructuras"
20,60.909.000-6,CNTV,Mar del Plata 2147,Elaboración de estudio de análisis de contenidos,Providencia,Región Metropolitana de Santiago,1016414-21-LE22,43232200,"Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión de contenidos"
21,61.102.016-3,DIRECCION DE SANIDAD DE LA ARMADA (CONVENIOS),JORGE MONTT 11700,Servicio de Exam. Laboratorio Clínico Punta Arenas,Viña del Mar,Región de Valparaíso ,1017312-15-LQ22,85101500,"Salud, servicios sanitarios y alimentación / Servicios para el cuidado de la salud de las personas / Ambulatorios"
22,61.202.000-0,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO,"Morandé 59, piso 8",ASESORÍA PARA DISEÑO DE DOS ESTACIONES,Santiago,Región Metropolitana de Santiago,1019-77-LE22,81101500,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios profesionales de ingeniería / Ingeniería civil"
23,61.202.000-0,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO,"Morandé 59, piso 8",ADQUISICIÓN DE EQUIPOSPARA LA RED HIDROMETEOROLÓGICA,Santiago,Región Metropolitana de Santiago,1019-81-LQ22,41111900,Equipamiento para laboratorios / Instrumentos de medida y experimentación / Instrumentos y equipos de grabación y registro
24,61.202.000-0,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO,"Morandé 59, piso 8",ASESORÍA PARA EVALUAR EL APORTE HÍDRICO,Santiago,Región Metropolitana de Santiago,1019-85-LE22,81151800,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios relativos a la meteorología y ciencias de la tierra / Oceanografía e hidrología"
25,61.202.000-0,MOP Subsecretaría ,,Adquisición de Suscripción de Software Autodesk,,Región Metropolitana de Santiago,1020-33-LQ22,43232600,"Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software específico para la industria"
26,65.154.398-3,CENTRO DE FORMACIÓN TÉCNICA DE LA REGIÓN DE TARAPA,Calle Sotomayor Nº575 Of. 409,Asesoría en Programa de transformación para CFT,Iquique,Región de Tarapacá  ,1026727-7-LE22,80101600,"Servicios profesionales, administrativos y consultorías de gestión empresarial / Consultorías o asesorías en gestión empresarial / Gestión de proyectos"
27,61.999.330-6,Subdirección de administración y finanzas,SERRANO 913,CONSERVACION ESCUELA ALEJANDRO NOEMI HUERTA FREIRINA,Vallenar,Región de Atacama ,1028871-26-LR22,72131700,Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras
28,65.154.272-3,Subdirección de administración y finanzas,Pedro de Valdivia N° 241,SERVICIO DE ORGANIZACION DE EVENTOS SLEPCA,Carahue,Región de la Araucanía ,1028897-35-LE22,80141600,"Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios para la comercialización y distribución / Ventas y marketing"
29,61.202.000-0,Dirección de Vialidad - XII Región - Provincia U. Esperanza,Señoret 146,Confeccion de Barreras Prefabricadas de Hormigón,Puerto Natales,Región de Magallanes y de la Antártica,1030-21-LQ22,46151500,"Equipos y suministros de defensa, orden público, protección y seguridad / Equipos para orden público / Equipo para control de disturbios"
30,61.313.000-4,VIII Región - Oficina Regional del Bio-Bio,BARROS ARANA N°514 - 3°PISO - CONCEPCION,Contratación del Servicio UPIF,Concepción,Región del Biobío ,1036-8-LR22,70151500,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Cultivos forestales / Administración de cultivos forestales"
31,62.000.480-4,Secretaria Regional Ministerial Ñuble,Edificios Públicos s/n,SERVICIO ASEO PARA EDIFICIO DE LA SEREMI EDUCACION,Chillán,Región del Ñuble,1043030-3-LE22,76111500,Servicios de limpieza industrial / Servicios de limpieza / Servicios de limpieza de edificios y oficinas en general
32,69.073.700-0,Ilustre Municipalidad de El Tabo,"Av. Las Cruces Norte 401, El Tabo",MEJORAMIENTO ACERAS E ILUMINACION ACCESO NORTE,El Tabo,Región de Valparaíso ,1048-42-LP22,72131700,Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras
33,61.202.000-0,Dirección de Vialidad - Dirección Regional Ñuble,LAZARETO N° 7,SUM. 9000M3 BASE GRANULAR EN CAMINOS C.A.D DRV-ÑUB,Chillán,Región del Ñuble,1051425-32-LQ22,11111600,"Productos derivados de minerales, plantas y animales / Tierra y piedra / Piedras"
34,62.000.570-3,Región de Ñuble,Rosas N° 287,Mantención preventiva Equipos electrógenos Unidades Penales y Especiales DIRREG Ñuble,Santiago,Región Metropolitana de Santiago,1051765-26-L122,26111600,"Maquinaria para generación y distribución de energía / Transmisión de energía eléctrica, mecánica y cinética / Grupos electrógenos"
35,61.608.604-9,Bienes y Servicios,Santa Rosa 1234,PCV-Obras de Contingencia de Pabellones de Cirugía,Santiago,Región Metropolitana de Santiago,1057049-172-LR22,72131700,Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras
36,61.608.604-9,Bienes y Servicios,Santa Rosa 1234,PCV-REDISEÑO DE ARQUITECTURA Y ESPECIALIDADES DE ÁREAS SINIESTRADAS,Santiago,Región Metropolitana de Santiago,1057049-183-LR22,81101500,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios profesionales de ingeniería / Ingeniería civil"
37,61.608.604-9,Bienes y Servicios,Santa Rosa 1234,PCV - Servicio de Taxi Traslado de Funcionarios,Santiago,Región Metropolitana de Santiago,1057049-192-LE22,78111800,"Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera"
38,61.608.604-9,Bienes y Servicios,Santa Rosa 1234,JLL SERVICIOS QUIRURGICOS DE CIRUGIAS CARDIACAS PARA EL HOSPITAL SAN BORJA ARRIARAN,Santiago,Región Metropolitana de Santiago,1057049-196-LQ22,85121600,"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Especialidades médicas"
39,61.608.604-9,Bienes y Servicios,Santa Rosa 1234,SMG. ADQUISICION DE COLCHON DE FLOTACION EN SECO DE 3 DIVISIONES PARA LOS SERVICIOS CLINICOS,Santiago,Región Metropolitana de Santiago,1057049-202-LP22,42191800,Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Camas para pacientes y accesorios
40,61.608.604-9,Bienes y Servicios,Santa Rosa 1234,PCV - Habilitación Cubículos Cirugía Infantil,Santiago,Región Metropolitana de Santiago,1057049-206-LQ22,72131700,Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras
41,61.608.604-9,Fármacos,SANTIAGO CONCHA 1249,GSP SUMINISTRO DE MEDICAMENTO HORMONA DEL CRECIMIENTO,Santiago Centro,Región de Arica y Parinacota,1057055-65-LQ22,51182300,Medicamentos y productos farmacéuticos / Hormonas y antagonistas hormonales / Hormonas del crecimiento y sus inhibidores
42,61.608.604-9,Fármacos,SANTIAGO CONCHA 1249,MES ACIDO GADOTERICO 279 MGML 15ML FUS 1258 2022,Santiago Centro,Región Metropolitana de Santiago,1057055-66-LE22,51212300,Medicamentos y productos farmacéuticos / Medicamentos varios / Radiofármacos y agentes de diagnóstico
43,61.606.204-2,Bienes y Servicios,OHIGGINS Nª450 TALTAL,COMPRA SERVICIO MANIPULADOR DE ALIMENTOS,Antofagasta,Región de Antofagasta ,1057385-21-LE22,91111600,Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Asistencia y cuidado doméstico
44,61.955.100-1,Bienes y Servicios,ILABACA 752,CONVENIO DE SUMINISTRO DE GASTROENTEROLOGÍA 2022,Angol,Región de la Araucanía ,1057390-34-LQ22,85101500,"Salud, servicios sanitarios y alimentación / Servicios para el cuidado de la salud de las personas / Ambulatorios"
45,61.607.901-8,Bienes y Servicios,Av. Los Flamencos 01364 Región Magallanes,EJECUCIÓN 100 INCLUSIONES DENTARIAS,Punta Arenas,Región de Magallanes y de la Antártica,1057402-160-LE22,80111600,"Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Servicios de personal temporal"
46,61.602.209-1,Bienes y Servicios,Bienes y Servicios,2DO LLAMADO MEJORA SISTEMA DE DESAGÜE Y SISTEMA DE AGUA ESTERI,Arauco,Región del Biobío ,1057404-72-LE22,72131700,Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras
47,61.607.300-1,Bienes y Servicios,"AVDA. RICARDO VICUÑA 147, INTERIOR 5° PISO",Refrigerador clínico y Registrador de temperatura,Los Angeles,Región del Biobío ,1057414-23-LE22,41103000,Equipamiento para laboratorios / Equipos e insumos para laboratorio / Equipo de enfriamiento para laboratorio
48,61.607.301-K,Bienes y Servicios,AVDA.RICARDO VICUÑA 147 Los Angeles,CONVENIO DE MANTENCIÓN PREVENTIVA Y CORRECTIVA DE LOS EQUIPOS MÉDICOS MONITORES MULTIPARÁMETROS MONITORES DE SIGNOS VITALES Y CENTRALES DE MONITOREO DEL COMPLEJO ASISTENCIAL “DR. VÍCTOR RÍOS RUIZ” LOS ÁNGELES dsb,Los Angeles,Región del Biobío ,1057417-125-LR22,73152100,Servicios de producción y fabricación industrial / Servicios de apoyo o soporte a la fabricación / Servicios de mantenimiento y reparación de equipo de fabricación
49,61.607.301-K,Bienes y Servicios,AVDA.RICARDO VICUÑA 147 Los Angeles,CONVENIO BIOPSIAS RENALES 2DO LLAMADO,Los Angeles,Región del Biobío ,1057417-147-LE22,85122200,"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales"
50,61.607.304-4,Bienes y Servicios,Salamanca s/n,Convenio suministro de Pólizas seguros Vehículos ,Santa Bárbara,Región del Biobío ,1057419-23-LE22,84131500,"Servicios financieros, pensiones y seguros / Seguros y jubilación / Seguros para estructuras, propiedades y bienes"
51,61.602.201-6,Bienes y Servicios,AV. LAUTARO N° 600,Gas Licuado Granel con Estanque en comodato,Coronel,Región del Biobío ,1057429-17-LP22,15111500,"Combustibles, lubricantes y anticorrosivos / Combustibles gaseosos y aditivos / Combustibles gaseosos"
52,61.607.100-9,Servicio de Salud  Concepción,Ohiggins N°297,SERVICIO CALIFICACIÓN DE REFRIGERADORES DROGUERIA,Concepción,Región del Biobío ,1057432-62-LE22,81141500,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Metodologías y tecnologías para mejorar la producción y la fabricación / Control de calidad"
53,61.606.402-9,Bienes y Servicios,JOSE M. BALMACEDA 916,MANTENIMIENTO PREVENTIVO TECHUMBRE,La Serena,Región de Coquimbo ,1057439-25-LE22,72101600,"Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Revestimientos de techos, paredes o metalistería"
54,61.606.404-5,Bienes y Servicios,Av. Manuel Peñafiel N° 1550,MANTENCIÓN PREV. Y CORRECTIVA SALA DE GENERADORES,Ovalle,Región de Coquimbo ,1057441-56-LE22,26111600,"Maquinaria para generación y distribución de energía / Transmisión de energía eléctrica, mecánica y cinética / Grupos electrógenos"
55,61.606.100-3,Bienes y Servicios,Anibal Pinto 815,Adq. cjas quirg. esp.cirugía Abdominal y otros HAH,Iquique,Región de Tarapacá  ,1057448-76-LR22,42294200,"Equipamiento y suministros médicos / Productos quirúrgicos / Juegos de instrumentos, sistemas y bandejas quirúrgicos"
56,61.606.913-6,Bienes y Servicios,,ADQUISICIÓN DE INSUMOS PARA TOMA DE MUESTRA Y OTROS,,Región del Maule ,1057461-29-LE22,41116000,Equipamiento para laboratorios / Instrumentos de medida y experimentación / Reactivos de analizadores clínicos y diagnósticos
57,61.608.600-6,Bienes y Servicios,Victoria Subercaseaux 381 Santiago Centro,Software Modalidad SAAS Integral Registro Clinico,Santiago,Región Metropolitana de Santiago,1057468-2-LR22,81111500,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios informáticos / Ingeniería en computación e informática"
58,61.980.320-5,Bienes y Servicios,Camino Rinconada N°1201,SERVICIO DE ARRIENDO DE BASES CALEFACTORAS,Maipú,Región Metropolitana de Santiago,1057472-69-LQ22,42272200,"Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Ventiladores y accesorios de presión mecánica positiva"
59,61.608.400-3,Bienes y Servicios,"Canada 308, Providencia",Servicio de Tele-oftalmología,Providencia,Región Metropolitana de Santiago,1057486-18-LE22,85121600,"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Especialidades médicas"
60,61.608.406-2,Bienes y Servicios,AV SALVADOR 364,SERVICIO  DE HIGIENE AMBIENTAL,Providencia,Región Metropolitana de Santiago,1057489-300-LQ22,81141800,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Metodologías y tecnologías para mejorar la producción y la fabricación / Administración de edificios e instalaciones"
61,61.608.407-0,Bienes y Servicios,Bienes y Servicios,Papel Crepado,Providencia,Región Metropolitana de Santiago,1057490-46-LE22,14121600,Productos de papel / Papel y cartón para uso industrial / Papel seda
62,61.608.408-9,Bienes y Servicios,ANTONIO VARAS 360 (CENTRO DE DISTRIBUCIÓN),SERV. CAMPAÑA IRA 2022 UPC HOSPITALIZACIÓN Y OTROS,Providencia,Región Metropolitana de Santiago,1057491-116-LQ22,80111700,"Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Contratación de personal"
63,61.959.800-8,Bienes y Servicios,,MANT EQUIPO ANESTESIA,,Región Metropolitana de Santiago,1057492-61-LP22,42272500,"Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Aparatos, accesorios y suministros de anestesia"
64,61.959.800-8,Bienes y Servicios,,SUM PECHERAS ,,Región Metropolitana de Santiago,1057492-70-LQ22,42131600,Equipamiento y suministros médicos / Vestuario clínico / Vestuario para el personal médico y artículos relacionados
65,61.608.102-0,Bienes y Servicios,Gran Avenida Jose Miguel Carrera Nº3300,SUMINISTRO DE ACCESOS VASCULARES,San Miguel,Región Metropolitana de Santiago,1057494-57-LQ22,42221500,"Equipamiento y suministros médicos / Productos administrados por vía intravenosa y arterial / Accesorios, catéteres y cánulas intravenosas y arteriales"
66,61.608.105-5,Bienes y Servicios,Arturo Prat 250,Adquisición insumos médicos Hospital San Luis,Buin,Región Metropolitana de Santiago,1057496-33-LE22,51102700,Medicamentos y productos farmacéuticos / Medicamentos anti infecciosos / Antisépticos
67,61.608.107-1,Bienes y Servicios,Bienes y Servicios,MANTENCIÓN DE GENERADORES ELÉCTRICOS,San Bernardo,Región Metropolitana de Santiago,1057498-28-LE22,72102200,"Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Servicios eléctricos"
68,61.608.500-K,Bienes y Servicios,Av. Concha y Toro Nº 3459,PROYECTOS PARA EL DESARROLLO Y MANTENCIÓN,Puente Alto,Región Metropolitana de Santiago,1057500-51-LQ22,43232400,"Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Programas de desarrollo"
69,61.608.502-6,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,"Avenida Melchor  Concha y Toro 3459, Puente Alto",CONVENIO CINTAS Y TELAS ADHESIVAS,Puente Alto,Región Metropolitana de Santiago,1057501-165-LQ22,42311700,Equipamiento y suministros médicos / Productos para el cuidado de heridas / Cintas adhesivas médicas y quirúrgicas y productos relacionados
70,61.608.502-6,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,"Avenida Melchor  Concha y Toro 3459, Puente Alto",CONVENIO INSUMOS RESPIRATORIO,Puente Alto,Región Metropolitana de Santiago,1057501-209-LQ22,42271500,"Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Productos para el control respiratorio"
71,61.608.502-6,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,"Avenida Melchor  Concha y Toro 3459, Puente Alto",HABILITACIÓN DEPARTAMENTO DE INFORMATICA CASR,Puente Alto,Región Metropolitana de Santiago,1057501-248-LQ22,72101600,"Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Revestimientos de techos, paredes o metalistería"
72,61.608.502-6,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,"Avenida Melchor  Concha y Toro 3459, Puente Alto",ARRIENDO MÓDULOS PARA DPTO. DE INFORMÁTICA CASR,Puente Alto,Región Metropolitana de Santiago,1057501-255-LQ22,30201800,"Artículos para estructuras, obras y construcciones / Estructuras prefabricadas / Construcciones prefabricadas para emergencias"
73,61.958.500-3,Bienes y Servicios,ESPERANZA 2150,OP - Servicio de Traslado Paciente Mediana y Alta,San Ramón,Región Metropolitana de Santiago,1057503-22-LR22,92101900,"Servicios de defensa nacional, orden público y seguridad / Orden público y seguridad / Servicios de salvamento"
74,61.607.000-2,Bienes y Servicios,Calle Arauco 184,"PROGRAMA CAPACITACION ""ATENCION FARMACEUTICA Y SEGUIMIENTO FARMACOTERAPEUTICO",Chillán Viejo,Región del Ñuble,1057508-74-L122,86111600,"Educación, formación, entrenamiento y capacitación / Sistemas educativos complementarios / Educación de adultos"
75,61.607.001-0,Bienes y Servicios,Francisco Ramirez Nº10,CONVENIO COMPRA SERVICIOS PROFESIONALES MÉDICOS CIRUJANO GENERAL PARA TURNOS DE URGENCIA PARA LA UNIDAD DE EMERGENCIA,Chillán,Región del Ñuble,1057509-171-LE22,85121500,"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Servicios de atención primaria"
76,61.607.001-0,Bienes y Servicios,,Convenio de Vidrios y Aluminios Cuarto Llamado  fgh,,Región del Ñuble,1057509-183-LE22,42271700,"Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno"
77,61.602.262-8,Bienes y Servicios,Direccion no aplica a productos virtuales,"Convenio suministro Alimentación Enteral e insumos, con disponibilidad de comodato de Bombas de infusión de alimentación enteral",Santiago,Región Metropolitana de Santiago,1057531-10-L122,42231500,Equipamiento y suministros médicos / Nutrición clínica / Suministros y equipo de alimentación enteral
78,61.607.600-0,Bienes y Servicios,"Manuel Rodriguez 759, Osorno",Adquisición de Equipos para Inspección Técnica de Obras,Osorno,Región de los Lagos ,1057532-43-L122,45121500,"Equipos y suministros de imprenta, fotográficos y audiovisuales / Equipos de video, filmación o fotografía / Cámaras"
79,61.607.700-7,Servicio de Salud del Reloncaví,"ESMERALDA 269, PISO 5 POBL. ESMERALDA",SERVICIOS DE ASEO PARA RECINTOS SSDR,Puerto Montt,Región de los Lagos ,1057536-67-LR22,76111500,Servicios de limpieza industrial / Servicios de limpieza / Servicios de limpieza de edificios y oficinas en general
80,61.607.700-7,Servicio de Salud del Reloncaví,"ESMERALDA 269, PISO 5 POBL. ESMERALDA",Servicios de CafeteriaBrunch y Catering para SSDR,Puerto Montt,Región de los Lagos ,1057536-87-LE22,90101700,"Servicios de Viajes, alimentación, alojamiento y entretenimiento / Restaurantes y catering / Servicios de cafetería"
81,61.975.100-0,Bienes y Servicios,,SOLUCIÓN COMPLETA SOFTWARE RELOJES CONTROL Y OTROS,,Región de los Lagos ,1057539-77-LP22,44103200,"Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Máquinas y accesorios para registro de hora y asistencia en la oficina"
82,61.975.100-0,Bienes y Servicios,,RENOVACIÓN PISOS ASCENSORES MONTACAMAS SOL. N 09,,Región de los Lagos ,1057539-87-LE22,72101500,"Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Servicios de apoyo para la construcción"
83,61.607.201-3,Bienes y Servicios,Bienes y Servicios,Insumos Varios 2022 2,Tomé,Región del Biobío ,1057543-66-LE22,41104100,Equipamiento para laboratorios / Equipos e insumos para laboratorio / Contenedores para especímenes de laboratorio
84,61.607.500-4,Bienes y Servicios,chacabuco #700,Convenio de Suministro de Vigilancia ,Valdivia,Región de Los Ríos,1057545-48-LQ22,92101500,"Servicios de defensa nacional, orden público y seguridad / Orden público y seguridad / Servicios de seguridad y policiales"
85,61.607.502-0,Bienes y Servicios,Bienes y Servicios,COMPRA DE SERVICIOS EXAMENES PET CT,Valdivia,Región de Los Ríos,1057547-195-LR22,85122200,"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales"
86,61.607.502-0,Bienes y Servicios,Bienes y Servicios,CONV.  INSUMOS SELLADOR DE VASOS CON COMODATO,Valdivia,Región de Los Ríos,1057547-204-LR22,42291600,"Equipamiento y suministros médicos / Productos quirúrgicos / Instrumentos quirúrgicos de corte, trampas y productos relacionados"
87,61.607.503-9,Bienes y Servicios,Bienes y Servicios,CONVENIO DE SUMINISTRO IMPLANTES DENTALES,La Unión,Región de Los Ríos,1057548-30-LE22,42152800,Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros periodontales
88,61.602.054-4,Bienes y Servicios,Bienes y Servicios,CONTRATO DE SUMINISTRO DE CATÉTERES ESPECIALES PARA EL HOSPITAL CARLOS VAN BUREN,Valparaíso,Región de Valparaíso ,1057554-56-LR22,42221500,"Equipamiento y suministros médicos / Productos administrados por vía intravenosa y arterial / Accesorios, catéteres y cánulas intravenosas y arteriales"
89,61.602.054-4,Bienes y Servicios,"San Ignacio 725, Valparaiso",SERVICIO MANT. PARA SISTEMAS DE CLIMATIMATIZACIÓN,Valparaíso,Región de Valparaíso ,1057554-67-LR22,73152100,Servicios de producción y fabricación industrial / Servicios de apoyo o soporte a la fabricación / Servicios de mantenimiento y reparación de equipo de fabricación
90,61.980.320-5,Activos Fijos,Bienes y Servicios,ADQUISICIÓN EQUIPAMIENTO PARA URGENCIA ADULTO,Maipú,Región Metropolitana de Santiago,1057862-4-LP22,42172100,Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Productos de resucitación de emergencia
91,61.607.200-5,Activos Fijos,AVENIDA COLON N°3030,Ad instr. urologia y cortantes Hospital Higueras,Talcahuano,Región del Biobío ,1057931-4-LQ22,42294200,"Equipamiento y suministros médicos / Productos quirúrgicos / Juegos de instrumentos, sistemas y bandejas quirúrgicos"
